Date,Shortcode,URL,Title,Summary,Likes,ballistic_detected,ballistic_intercepted,UAV_detected,UAV_intercepted,ballistic_sea,ballistic_land,UAV_sea,UAV_land
2026-03-13,DV0z0FRiNkK,https://www.instagram.com/modgovae/p/DV0z0FRiNkK/,"UAE air defences engage 7 ballistic missiles, 27 UAVs","On March 13, UAE air defence systems engaged 7 ballistic missiles and 27 UAVs launched from Iran. Since the onset of the Iranian attacks, UAE air defences had engaged 285 ballistic missiles, 15 cruise missiles and 1,567 UAVs. The Ministry said the attacks had caused 6 fatalities and 141 minor to moderate injuries and reaffirmed full readiness to confront threats.",,7,7,27,27,0,0,0,0
2026-03-14,DV3N5oriPmN,https://www.instagram.com/modgovae/p/DV3N5oriPmN/,"UAE air defences engage 9 ballistic missiles, 33 UAVs","On March 14, UAE air defence systems engaged 9 ballistic missiles and 33 UAVs launched from Iran. Cumulative totals reached 294 ballistic missiles, 15 cruise missiles and 1,600 UAVs. The Ministry reported 6 fatalities and 141 minor to moderate injuries and said it was fully prepared to counter any threat to state security.",,9,9,33,33,0,0,0,0
2026-03-15,DV58OBuiIHk,https://www.instagram.com/modgovae/p/DV58OBuiIHk/,"UAE air defences engage 4 ballistic missiles, 6 UAVs","On March 15, UAE air defence systems engaged 4 ballistic missiles and 6 UAVs launched from Iran. Since the onset of the attacks, totals reached 298 ballistic missiles, 15 cruise missiles and 1,606 UAVs. The Ministry said the attacks had resulted in 6 deaths and 142 minor to moderate injuries and reaffirmed readiness to deal with threats and defend national capabilities.",,4,4,6,6,0,0,0,0
2026-03-16,DV8g-JxCD0t,https://www.instagram.com/modgovae/p/DV8g-JxCD0t/,"UAE air defences engage 6 ballistic missiles, 21 UAVs","On March 16, UAE air defence systems engaged 6 ballistic missiles and 21 UAVs launched from Iran. Cumulative figures reached 304 ballistic missiles, 15 cruise missiles and 1,627 UAVs. The Ministry reported 2 martyred armed forces members, 5 civilian fatalities and 145 injuries, and said it remained fully prepared to deal with any threat.",,6,6,21,21,0,0,0,0
2026-03-17,DV-_BgsiH8T,https://www.instagram.com/modgovae/p/DV-_BgsiH8T/,"UAE air defences engage 10 ballistic missiles, 45 UAVs","On March 17, UAE air defence systems engaged 10 ballistic missiles and 45 UAVs launched from Iran. Since the onset of the Iranian attacks, cumulative totals reached 314 ballistic missiles, 15 cruise missiles and 1,672 UAVs. The Ministry reported 2 martyred armed forces members, 6 fatalities and 157 injuries and said it remained fully ready to counter threats.",,10,10,45,45,0,0,0,0
2026-03-18,DWBhA-iCPDw,https://www.instagram.com/modgovae/p/DWBhA-iCPDw/,"UAE air defences engage 13 ballistic missiles, 27 UAVs","On March 18, UAE air defence systems engaged 13 ballistic missiles and 27 UAVs launched from Iran. Cumulative totals rose to 327 ballistic missiles, 15 cruise missiles and 1,699 UAVs. The Ministry reported 2 martyred armed forces members, 6 fatalities and 158 injuries and reaffirmed readiness to confront any threat to UAE security and stability.",,13,13,27,27,0,0,0,0
2026-03-19,DWED7KmCIUt,https://www.instagram.com/modgovae/p/DWED7KmCIUt/,"UAE air defences engage 7 ballistic missiles, 15 UAVs","On March 19, UAE air defence systems engaged 7 ballistic missiles and 15 UAVs launched from Iran. Since the onset of the Iranian attacks, UAE air defences had engaged 334 ballistic missiles, 15 cruise missiles and 1,714 UAVs. The Ministry reported 2 martyred armed forces members, 6 fatalities and 158 injuries and said it remained fully prepared to deal with threats.",,7,7,15,15,0,0,0,0
2026-03-20,DWGlTUCiCRC,https://www.instagram.com/modgovae/p/DWGlTUCiCRC/,"UAE air defences engage 4 ballistic missiles, 26 UAVs","On March 20, UAE air defence systems engaged 4 ballistic missiles and 26 UAVs launched from Iran. Cumulative totals reached 338 ballistic missiles, 15 cruise missiles and 1,740 UAVs. The Ministry reported 2 martyred armed forces members, 6 fatalities and 158 injuries and reiterated full readiness to confront attempts to undermine state security.",,4,4,26,26,0,0,0,0
2026-03-21,DWJKE7VCBD1,https://www.instagram.com/modgovae/p/DWJKE7VCBD1/,"UAE air defences engage 3 ballistic missiles, 8 UAVs","On March 21, UAE air defence systems engaged 3 ballistic missiles and 8 UAVs launched from Iran. Since the onset of the attacks, cumulative totals reached 341 ballistic missiles, 15 cruise missiles and 1,748 UAVs. The Ministry reported 2 martyred armed forces members, 6 fatalities and 160 injuries and affirmed its full readiness to confront threats.",,3,3,8,8,0,0,0,0
2026-03-22,DWL1N96CFZs,https://www.instagram.com/modgovae/p/DWL1N96CFZs/,"UAE air defences engage 4 ballistic missiles, 25 UAVs","On March 22, UAE air defence systems engaged 4 ballistic missiles and 25 UAVs launched from Iran. Cumulative totals reached 345 ballistic missiles, 15 cruise missiles and 1,773 UAVs. The Ministry reported 2 martyred armed forces members, 6 fatalities and 160 injuries and said it remained fully prepared to deal with any threat.",,4,4,25,25,0,0,0,0
2026-03-23,DWOTvckCO3n,https://www.instagram.com/modgovae/p/DWOTvckCO3n/,"UAE air defences engage 7 ballistic missiles, 16 UAVs","On March 23, UAE air defence systems engaged 7 ballistic missiles and 16 UAVs launched from Iran. Since the onset of the attacks, cumulative totals reached 352 ballistic missiles, 15 cruise missiles and 1,789 UAVs. The Ministry reported 2 martyred armed forces members, 6 fatalities and 161 injuries and reaffirmed its readiness to confront any threat to UAE security and stability.",,7,7,16,16,0,0,0,0
